timestamp,machine_id,line_id,machine_state,units_produced,units_rejected,temperature_c,vibration_mm_s,power_kw,operator_shift
2026-03-01T02:01:00,M-01,A,DOWN,0,0,49.3,0.28,0.5,C
2026-03-01T02:02:00,M-01,A,DOWN,0,0,47.7,0.24,0.5,C
2026-03-01T02:03:00,M-01,A,DOWN,0,0,46.0,0.25,0.2,C
2026-03-01T02:04:00,M-01,A,DOWN,0,0,45.0,0.23,0.4,C
2026-03-01T02:05:00,M-01,A,DOWN,0,0,44.1,0.2,0.3,C
2026-03-01T02:06:00,M-01,A,DOWN,0,0,43.8,0.23,0.5,C
2026-03-01T02:07:00,M-01,A,DOWN,0,0,43.4,0.23,0.5,C
2026-03-01T02:08:00,M-01,A,RUN,12,0,44.9,1.34,20.6,C
2026-03-01T02:09:00,M-01,A,RUN,15,0,46.3,1.7,20.9,C
2026-03-01T02:10:00,M-01,A,RUN,14,1,46.9,1.32,21.3,C
2026-03-01T02:11:00,M-01,A,RUN,10,0,48.2,1.05,20.9,C
2026-03-01T02:12:00,M-01,A,RUN,18,0,49.1,1.21,21.4,C
2026-03-01T02:13:00,M-01,A,RUN,16,0,49.9,1.21,20.6,C
2026-03-01T02:14:00,M-01,A,RUN,16,1,49.9,1.27,22.5,C
2026-03-01T02:15:00,M-01,A,RUN,9,0,50.1,1.37,18.7,C
2026-03-01T02:16:00,M-01,A,RUN,10,0,51.9,1.26,18.3,C
2026-03-01T02:17:00,M-01,A,RUN,9,0,53.1,1.09,19.3,C
2026-03-01T02:18:00,M-01,A,RUN,14,1,52.9,1.42,19.8,C
2026-03-01T02:19:00,M-01,A,RUN,9,0,53.2,1.03,18.3,C
2026-03-01T02:20:00,M-01,A,RUN,13,0,53.8,1.49,20.5,C
2026-03-01T02:21:00,M-01,A,RUN,16,0,54.4,1.23,22.9,C
2026-03-01T02:22:00,M-01,A,RUN,8,0,54.4,1.13,18.7,C
2026-03-01T02:23:00,M-01,A,RUN,13,0,55.6,1.35,19.8,C
2026-03-01T02:24:00,M-01,A,RUN,13,0,55.4,1.11,20.4,C
2026-03-01T02:25:00,M-01,A,RUN,14,1,55.8,1.31,20.8,C
2026-03-01T02:26:00,M-01,A,RUN,12,0,56.2,1.6,19.9,C
2026-03-01T02:27:00,M-01,A,RUN,10,1,56.5,1.29,19.3,C
2026-03-01T02:28:00,M-01,A,RUN,13,0,57.3,1.59,20.4,C
2026-03-01T02:29:00,M-01,A,RUN,14,0,58.5,1.36,21.0,C
2026-03-01T02:30:00,M-01,A,RUN,9,0,58.0,0.98,18.9,C
2026-03-01T02:31:00,M-01,A,RUN,11,0,58.7,1.47,21.1,C
2026-03-01T02:32:00,M-01,A,RUN,12,0,59.4,1.15,20.5,C
2026-03-01T02:33:00,M-01,A,RUN,9,0,59.4,1.41,18.2,C
2026-03-01T02:34:00,M-01,A,RUN,17,0,59.8,1.22,21.7,C
2026-03-01T02:35:00,M-01,A,RUN,14,0,60.0,1.75,20.4,C
2026-03-01T02:36:00,M-01,A,RUN,15,1,59.9,1.32,20.4,C
2026-03-01T02:37:00,M-01,A,RUN,12,0,59.6,1.37,19.5,C
2026-03-01T02:38:00,M-01,A,RUN,14,0,59.7,1.32,19.8,C
2026-03-01T02:39:00,M-01,A,RUN,13,1,59.9,1.11,21.9,C
2026-03-01T02:40:00,M-01,A,RUN,17,0,60.0,1.17,23.2,C
2026-03-01T02:41:00,M-01,A,RUN,17,0,60.2,1.2,22.3,C
2026-03-01T02:42:00,M-01,A,RUN,14,0,59.7,1.06,21.5,C
2026-03-01T02:43:00,M-01,A,RUN,10,0,60.4,1.25,20.0,C
2026-03-01T02:44:00,M-01,A,RUN,11,0,61.6,1.28,20.5,C
2026-03-01T02:45:00,M-01,A,RUN,7,0,62.9,1.31,18.9,C
2026-03-01T02:46:00,M-01,A,RUN,16,0,63.0,1.51,21.3,C
2026-03-01T02:47:00,M-01,A,RUN,8,0,63.4,1.28,19.5,C
2026-03-01T02:48:00,M-01,A,RUN,15,0,62.6,1.22,20.7,C
2026-03-01T02:49:00,M-01,A,IDLE,0,0,60.3,0.28,3.5,C
2026-03-01T02:50:00,M-01,A,IDLE,0,0,59.0,0.28,2.9,C
2026-03-01T02:51:00,M-01,A,IDLE,0,0,57.1,0.36,3.0,C
2026-03-01T02:52:00,M-01,A,IDLE,0,0,55.8,0.28,3.1,C
2026-03-01T02:53:00,M-01,A,IDLE,0,0,54.6,0.2,3.1,C
2026-03-01T02:54:00,M-01,A,IDLE,0,0,54.1,0.25,4.1,C
2026-03-01T02:55:00,M-01,A,IDLE,0,0,52.5,0.25,2.8,C
2026-03-01T02:56:00,M-01,A,IDLE,0,0,51.9,0.24,3.6,C
2026-03-01T02:57:00,M-01,A,IDLE,0,0,51.7,0.33,3.2,C
2026-03-01T02:58:00,M-01,A,IDLE,0,0,50.4,0.26,3.2,C
2026-03-01T02:59:00,M-01,A,IDLE,0,0,49.8,0.2,3.2,C
2026-03-01T03:00:00,M-01,A,IDLE,0,0,48.8,0.2,3.0,C
2026-03-01T03:01:00,M-01,A,IDLE,0,0,,0.2,3.3,C
2026-03-01T03:02:00,M-01,A,IDLE,0,0,48.4,0.27,3.1,C
2026-03-01T03:03:00,M-01,A,IDLE,0,0,47.7,0.27,3.4,C
2026-03-01T03:04:00,M-01,A,IDLE,0,0,46.2,0.3,3.5,C
2026-03-01T03:05:00,M-01,A,IDLE,0,0,45.4,0.24,3.3,C
2026-03-01T03:06:00,M-01,A,IDLE,0,0,44.6,0.2,3.4,C
2026-03-01T03:07:00,M-01,A,IDLE,0,0,,0.25,3.4,C
2026-03-01T03:08:00,M-01,A,IDLE,0,0,43.4,0.22,3.1,C
2026-03-01T03:09:00,M-01,A,IDLE,0,0,43.6,0.27,3.5,C
2026-03-01T03:10:00,M-01,A,IDLE,0,0,44.0,0.2,3.5,C
2026-03-01T03:11:00,M-01,A,IDLE,0,0,43.7,0.29,3.5,C
2026-03-01T03:12:00,M-01,A,IDLE,0,0,43.5,0.31,3.5,C
2026-03-01T03:13:00,M-01,A,IDLE,0,0,43.1,0.35,3.3,C
2026-03-01T03:14:00,M-01,A,IDLE,0,0,42.2,0.27,3.4,C
2026-03-01T03:15:00,M-01,A,IDLE,0,0,41.3,0.29,3.0,C
2026-03-01T03:16:00,M-01,A,IDLE,0,0,41.4,0.2,3.2,C
2026-03-01T03:17:00,M-01,A,IDLE,0,0,41.3,0.2,3.7,C
2026-03-01T03:18:00,M-01,A,IDLE,0,0,40.9,0.31,3.1,C
2026-03-01T03:19:00,M-01,A,IDLE,0,0,40.7,0.2,3.7,C
2026-03-01T03:20:00,M-01,A,IDLE,0,0,40.9,0.3,3.2,C
2026-03-01T03:21:00,M-01,A,IDLE,0,0,40.5,0.22,3.7,C
2026-03-01T03:22:00,M-01,A,IDLE,0,0,40.5,0.24,3.2,C
2026-03-01T03:23:00,M-01,A,IDLE,0,0,39.9,0.27,3.2,C
2026-03-01T03:24:00,M-01,A,RUN,12,0,40.9,1.32,21.3,C
2026-03-01T03:25:00,M-01,A,RUN,11,0,41.8,1.32,19.3,C
2026-03-01T03:26:00,M-01,A,RUN,14,0,43.0,1.69,21.6,C
2026-03-01T03:27:00,M-01,A,RUN,13,1,43.7,1.3,20.4,C
2026-03-01T03:28:00,M-01,A,RUN,14,0,44.1,1.43,20.4,C
2026-03-01T03:29:00,M-01,A,RUN,12,0,45.1,1.42,20.7,C
2026-03-01T03:30:00,M-01,A,RUN,19,0,46.6,1.67,21.3,C
2026-03-01T03:31:00,M-01,A,RUN,17,1,46.1,1.32,21.8,C
2026-03-01T03:32:00,M-01,A,RUN,15,1,47.5,1.54,20.8,C
2026-03-01T03:33:00,M-01,A,RUN,10,1,49.2,1.53,19.2,C
2026-03-01T03:34:00,M-01,A,RUN,10,0,49.5,1.67,20.4,C
2026-03-01T03:35:00,M-01,A,RUN,13,0,50.6,1.46,19.8,C
2026-03-01T03:36:00,M-01,A,RUN,5,0,50.8,1.81,16.9,C
2026-03-01T03:37:00,M-01,A,RUN,11,1,51.6,1.34,18.7,C
2026-03-01T03:38:00,M-01,A,DOWN,0,0,49.8,0.26,0.3,C
2026-03-01T03:39:00,M-01,A,DOWN,0,0,48.8,0.28,0.4,C
2026-03-01T03:40:00,M-01,A,DOWN,0,0,47.4,0.25,0.6,C
2026-03-01T03:41:00,M-01,A,DOWN,0,0,45.6,0.24,0.4,C
2026-03-01T03:42:00,M-01,A,DOWN,0,0,44.4,0.25,0.1,C
2026-03-01T03:43:00,M-01,A,DOWN,0,0,43.3,0.28,0.4,C
2026-03-01T03:44:00,M-01,A,DOWN,0,0,42.5,0.22,0.6,C
2026-03-01T03:45:00,M-01,A,DOWN,0,0,41.0,0.23,0.2,C
2026-03-01T03:46:00,M-01,A,DOWN,0,0,39.9,0.22,0.6,C
2026-03-01T03:47:00,M-01,A,DOWN,0,0,38.4,0.34,0.4,C
2026-03-01T03:48:00,M-01,A,DOWN,0,0,37.2,0.28,0.4,C
2026-03-01T03:49:00,M-01,A,DOWN,0,0,35.6,0.25,0.3,C
2026-03-01T03:50:00,M-01,A,DOWN,0,0,34.5,0.23,0.4,C
2026-03-01T03:51:00,M-01,A,DOWN,0,0,33.4,0.26,0.3,C
2026-03-01T03:52:00,M-01,A,DOWN,0,0,32.7,0.27,0.4,C
2026-03-01T03:53:00,M-01,A,DOWN,0,0,31.9,0.25,0.5,C
2026-03-01T03:54:00,M-01,A,DOWN,0,0,31.3,0.2,0.5,C
2026-03-01T03:55:00,M-01,A,DOWN,0,0,30.1,0.24,0.3,C
2026-03-01T03:56:00,M-01,A,DOWN,0,0,29.5,0.2,0.3,C
2026-03-01T03:57:00,M-01,A,DOWN,0,0,29.2,0.2,0.4,C
2026-03-01T03:58:00,M-01,A,DOWN,0,0,28.6,0.2,0.3,C
2026-03-01T03:59:00,M-01,A,DOWN,0,0,28.4,0.2,0.5,C
2026-03-01T04:00:00,M-01,A,DOWN,0,0,27.4,0.25,0.5,C
2026-03-01T04:01:00,M-01,A,DOWN,0,0,27.5,0.21,0.3,C
2026-03-01T04:02:00,M-01,A,DOWN,0,0,27.9,0.28,0.4,C
2026-03-01T04:03:00,M-01,A,DOWN,0,0,26.7,0.24,0.2,C
2026-03-01T04:04:00,M-01,A,DOWN,0,0,26.6,0.21,0.5,C
2026-03-01T04:05:00,M-01,A,DOWN,0,0,26.8,0.2,0.2,C
2026-03-01T04:06:00,M-01,A,DOWN,0,0,25.7,0.31,0.3,C
2026-03-01T04:07:00,M-01,A,DOWN,0,0,24.5,0.2,0.4,C
2026-03-01T04:08:00,M-01,A,DOWN,0,0,24.0,0.2,0.4,C
2026-03-01T04:09:00,M-01,A,DOWN,0,0,22.4,0.26,0.6,C
2026-03-01T04:10:00,M-01,A,DOWN,0,0,21.3,0.27,0.5,C
2026-03-01T04:11:00,M-01,A,DOWN,0,0,20.4,0.23,0.5,C
2026-03-01T04:12:00,M-01,A,DOWN,0,0,19.8,0.24,0.4,C
2026-03-01T04:13:00,M-01,A,DOWN,0,0,19.1,0.31,0.5,C
2026-03-01T04:14:00,M-01,A,RUN,20,0,22.5,1.63,24.9,C
2026-03-01T04:15:00,M-01,A,RUN,10,0,25.4,1.43,21.0,C
2026-03-01T04:16:00,M-01,A,RUN,17,1,26.8,1.64,21.2,C
2026-03-01T04:17:00,M-01,A,RUN,12,0,28.7,1.42,20.8,C
2026-03-01T04:18:00,M-01,A,RUN,13,0,30.2,1.53,21.6,C
2026-03-01T04:19:00,M-01,A,RUN,9,1,31.8,1.37,18.3,C
2026-03-01T04:20:00,M-01,A,RUN,17,1,31.8,1.55,21.0,C
2026-03-01T04:21:00,M-01,A,RUN,11,0,32.5,1.2,19.0,C
2026-03-01T04:22:00,M-01,A,RUN,9,0,34.9,1.61,18.8,C
2026-03-01T04:23:00,M-01,A,RUN,20,0,36.3,1.7,23.7,C
2026-03-01T04:24:00,M-01,A,RUN,18,0,,1.92,22.5,C
2026-03-01T04:25:00,M-01,A,RUN,9,0,39.0,1.62,19.4,C
2026-03-01T04:26:00,M-01,A,RUN,10,0,41.6,1.47,19.6,C
2026-03-01T04:27:00,M-01,A,RUN,12,0,43.1,1.59,21.3,C
2026-03-01T04:28:00,M-01,A,RUN,16,1,44.7,1.69,21.6,C
2026-03-01T04:29:00,M-01,A,RUN,14,0,45.5,1.55,20.8,C
2026-03-01T04:30:00,M-01,A,RUN,13,0,47.1,1.41,21.1,C
2026-03-01T04:31:00,M-01,A,RUN,16,0,48.1,1.52,22.6,C
2026-03-01T04:32:00,M-01,A,RUN,14,0,47.9,1.61,21.6,C
2026-03-01T04:33:00,M-01,A,RUN,15,1,49.0,1.95,21.0,C
2026-03-01T04:34:00,M-01,A,RUN,13,0,50.0,1.59,20.1,C
2026-03-01T04:35:00,M-01,A,RUN,9,0,50.4,1.47,20.1,C
2026-03-01T04:36:00,M-01,A,RUN,19,1,50.7,1.71,22.0,C
2026-03-01T04:37:00,M-01,A,RUN,10,0,52.1,1.91,20.0,C
2026-03-01T04:38:00,M-01,A,RUN,13,0,51.4,1.53,20.9,C
2026-03-01T04:39:00,M-01,A,RUN,6,0,52.1,1.63,17.6,C
2026-03-01T04:40:00,M-01,A,RUN,11,1,52.3,1.46,20.5,C
2026-03-01T04:41:00,M-01,A,RUN,10,0,52.6,1.65,19.1,C
2026-03-01T04:42:00,M-01,A,RUN,8,0,53.6,1.72,17.9,C
2026-03-01T04:43:00,M-01,A,RUN,11,0,54.6,1.93,18.9,C
2026-03-01T04:44:00,M-01,A,RUN,6,0,54.4,1.74,18.6,C
2026-03-01T04:45:00,M-01,A,RUN,14,0,54.6,1.85,21.1,C
2026-03-01T04:46:00,M-01,A,RUN,8,0,55.2,1.87,19.3,C
2026-03-01T04:47:00,M-01,A,RUN,12,0,55.7,1.94,20.8,C
2026-03-01T04:48:00,M-01,A,RUN,12,0,57.1,1.95,20.1,C
2026-03-01T04:49:00,M-01,A,RUN,16,2,58.0,1.66,20.5,C
2026-03-01T04:50:00,M-01,A,RUN,16,0,57.6,2.12,20.7,C
2026-03-01T04:51:00,M-01,A,RUN,9,0,57.7,1.88,19.8,C
2026-03-01T04:52:00,M-01,A,RUN,12,0,56.6,1.89,20.9,C
2026-03-01T04:53:00,M-01,A,RUN,11,0,57.7,1.66,19.9,C
2026-03-01T04:54:00,M-01,A,RUN,9,0,58.3,1.68,18.8,C
2026-03-01T04:55:00,M-01,A,RUN,9,0,58.1,1.66,19.2,C
2026-03-01T04:56:00,M-01,A,RUN,13,0,58.6,1.81,21.5,C
2026-03-01T04:57:00,M-01,A,RUN,10,0,58.2,1.77,18.1,C
2026-03-01T04:58:00,M-01,A,RUN,9,0,58.2,1.93,18.4,C
2026-03-01T04:59:00,M-01,A,RUN,5,0,58.4,1.45,18.8,C
2026-03-01T05:00:00,M-01,A,SETUP,0,0,56.9,0.29,5.4,A
2026-03-01T05:01:00,M-01,A,SETUP,0,0,55.6,0.41,5.2,A
2026-03-01T05:02:00,M-01,A,SETUP,0,0,53.9,0.28,5.5,A
2026-03-01T05:03:00,M-01,A,SETUP,0,0,53.4,0.32,5.0,A
2026-03-01T05:04:00,M-01,A,SETUP,0,0,53.5,0.21,5.7,A
2026-03-01T05:05:00,M-01,A,SETUP,0,0,52.9,0.22,5.0,A
2026-03-01T05:06:00,M-01,A,SETUP,0,0,53.6,0.2,6.1,A
2026-03-01T05:07:00,M-01,A,SETUP,0,0,53.8,0.2,6.4,A
2026-03-01T05:08:00,M-01,A,SETUP,0,0,54.0,0.29,4.9,A
2026-03-01T05:09:00,M-01,A,SETUP,0,0,53.4,0.33,5.2,A
2026-03-01T05:10:00,M-01,A,SETUP,0,0,52.9,0.27,5.4,A
2026-03-01T05:11:00,M-01,A,SETUP,0,0,52.0,0.2,5.7,A
2026-03-01T05:12:00,M-01,A,SETUP,0,0,52.6,0.27,6.1,A
2026-03-01T05:13:00,M-01,A,SETUP,0,0,52.5,0.26,5.5,A
2026-03-01T05:14:00,M-01,A,SETUP,0,0,51.7,0.21,6.1,A
2026-03-01T05:15:00,M-01,A,SETUP,0,0,51.1,0.24,5.9,A
2026-03-01T05:16:00,M-01,A,SETUP,0,0,51.1,0.25,6.0,A
2026-03-01T05:17:00,M-01,A,SETUP,0,0,50.8,0.3,5.0,A
2026-03-01T05:18:00,M-01,A,SETUP,0,0,50.2,0.23,5.8,A
2026-03-01T05:19:00,M-01,A,SETUP,0,0,50.0,0.23,4.7,A
2026-03-01T05:20:00,M-01,A,SETUP,0,0,49.5,0.2,5.3,A
2026-03-01T05:21:00,M-01,A,SETUP,0,0,49.5,0.22,5.0,A
2026-03-01T05:22:00,M-01,A,SETUP,0,0,48.6,0.25,5.6,A
2026-03-01T05:23:00,M-01,A,SETUP,0,0,48.7,0.26,5.6,A
2026-03-01T05:24:00,M-01,A,SETUP,0,0,49.4,0.31,5.8,A
2026-03-01T05:25:00,M-01,A,SETUP,0,0,50.4,0.31,5.8,A
2026-03-01T05:26:00,M-01,A,SETUP,0,0,50.7,0.2,5.9,A
2026-03-01T05:27:00,M-01,A,SETUP,0,0,50.0,0.24,5.7,A
2026-03-01T05:28:00,M-01,A,SETUP,0,0,49.6,0.27,5.8,A
2026-03-01T05:29:00,M-01,A,SETUP,0,0,50.3,0.33,6.2,A
2026-03-01T05:30:00,M-01,A,SETUP,0,0,48.7,0.21,4.9,A
2026-03-01T05:31:00,M-01,A,SETUP,0,0,48.7,0.35,5.8,A
2026-03-01T05:32:00,M-01,A,SETUP,0,0,47.6,0.27,6.4,A
2026-03-01T05:33:00,M-01,A,SETUP,0,0,47.5,0.27,5.4,A
2026-03-01T05:34:00,M-01,A,SETUP,0,0,47.7,0.2,5.9,A
